1	16	10335917.31	0.000001
1	32	48780487.8	0.000001
1	64	92485549.13	0.000001
1	128	177777777.8	0.000001
1	256	372093023.3	0.000001
1	512	715083798.9	0.000001
1	1024	937728937.7	0.000001
1	2048	1084745763	0.000001
1	4096	1172966781	0.000001
1	8192	1244228433	0.000002
1	16384	1268504181	0.000003
1	32768	1344935150	0.000006
1	65536	1374496644	0.000012
1	131072	1340314136	0.000024
1	262144	1235316293	0.000053
1	524288	1312360451	0.0001
1	1048576	1160637912	0.000226
1	2097152	508611574.1	0.001031
1	4194304	509145503.6	0.002059
1	8388608	507373192.5	0.004133
1	16777216	498571436	0.008413
1	33554432	500969348.4	0.016745
1	67108864	504368380.6	0.033264
1	134217728	497188647.3	0.067488
2	16	17241379.31	0.000001
2	32	38095238.1	0.000001
2	64	70796460.18	0.000001
2	128	142857142.9	0.000001
2	256	283185840.7	0.000001
2	512	533333333.3	0.000001
2	1024	759643916.9	0.000001
2	2048	980842911.9	0.000001
2	4096	1121577218	0.000001
2	8192	1208259587	0.000002
2	16384	1241964827	0.000003
2	32768	1322143318	0.000006
2	65536	1326424870	0.000012
2	131072	1183002996	0.000028
2	262144	1047168605	0.000063
2	524288	1014347846	0.000129
2	1048576	914725977.2	0.000287
2	2097152	299457616.9	0.001751
2	4194304	272916349.5	0.003842
2	8388608	264835322.8	0.007919
2	16777216	264460208.6	0.01586
2	33554432	266760812.7	0.031446
2	67108864	263095385.8	0.063769
2	134217728	266254543.7	0.126024
3	16	27586206.9	0.000001
3	32	36363636.36	0.000001
3	64	65843621.4	0.000001
3	128	122137404.6	0.000001
3	256	262295082	0.000001
3	512	410256410.3	0.000001
3	1024	659793814.4	0.000001
3	2048	901408450.7	0.000001
3	4096	1105831533	0.000001
3	8192	1182448037	0.000002
3	16384	1226347305	0.000003
3	32768	1190697674	0.000007
3	65536	1235782169	0.000013
3	131072	1026952488	0.000032
3	262144	682531582.3	0.000096
3	524288	794443164.9	0.000165
3	1048576	808024017.8	0.000324
3	2097152	216821122	0.002418
3	4194304	195806515	0.005355
3	8388608	193151226.8	0.010858
3	16777216	181417208.6	0.02312
3	33554432	179462747.4	0.046743
3	67108864	177980745.8	0.094264
3	134217728	178783666.8	0.187682
4	16	25806451.61	0.000001
4	32	42553191.49	0.000001
4	64	68376068.38	0.000001
4	128	122605364	0.000001
4	256	260162601.6	0.000001
4	512	400000000	0.000001
4	1024	627450980.4	0.000001
4	2048	853333333.3	0.000001
4	4096	1003921569	0.000001
4	8192	1180403458	0.000002
4	16384	1223782492	0.000003
4	32768	1116076294	0.000007
4	65536	1145253740	0.000014
4	131072	942286125.1	0.000035
4	262144	677921218.1	0.000097
4	524288	610699542.5	0.000215
4	1048576	655443569.1	0.0004
4	2097152	158961568.8	0.003298
4	4194304	142692833	0.007348
4	8388608	142600821.9	0.014706
4	16777216	140669723.8	0.029817
4	33554432	137987990.4	0.060792
4	67108864	133846282.1	0.125347
4	134217728	134917428.1	0.248703
5	16	31496062.99	0.000001
5	32	54421768.71	0.000001
5	64	59701492.54	0.000001
5	128	110344827.6	0.000001
5	256	179271708.7	0.000001
5	512	383233532.9	0.000001
5	1024	548179871.5	0.000001
5	2048	837970540.1	0.000001
5	4096	1042769857	0.000001
5	8192	1152504221	0.000002
5	16384	1188969521	0.000003
5	32768	1079883997	0.000008
5	65536	1097681897	0.000015
5	131072	913113749.1	0.000036
5	262144	555375710.8	0.000118
5	524288	535422649.4	0.000245
