1, 16, 12345679.012346, 0.000000 
2, 16, 11019283.746556, 0.000000 
3, 16, 32520325.203252, 0.000000 
4, 16, 34782608.695652, 0.000000 
5, 16, 35398230.088496, 0.000000 
6, 16, 32520325.203252, 0.000000 
7, 16, 38461538.461538, 0.000000 
8, 16, 36036036.036036, 0.000000 
1, 32, 73394495.412844, 0.000000 
2, 32, 69565217.391304, 0.000000 
3, 32, 54054054.054054, 0.000000 
4, 32, 49079754.601227, 0.000000 
5, 32, 54054054.054054, 0.000000 
6, 32, 53333333.333333, 0.000000 
7, 32, 53691275.167785, 0.000000 
8, 32, 55172413.793103, 0.000000 
1, 64, 139130434.782609, 0.000000 
2, 64, 114285714.285714, 0.000000 
3, 64, 105263157.894737, 0.000000 
4, 64, 92485549.132948, 0.000000 
5, 64, 82051282.051282, 0.000000 
6, 64, 66115702.479339, 0.000000 
7, 64, 72727272.727273, 0.000000 
8, 64, 68965517.241379, 0.000000 
1, 128, 262295081.967213, 0.000000 
2, 128, 206451612.903226, 0.000000 
3, 128, 159203980.099502, 0.000000 
4, 128, 174863387.978142, 0.000000 
5, 128, 145454545.454545, 0.000000 
6, 128, 142222222.222222, 0.000000 
7, 128, 140969162.995595, 0.000000 
8, 128, 117216117.216117, 0.000000 
1, 256, 457142857.142857, 0.000000 
2, 256, 355555555.555556, 0.000000 
3, 256, 315270935.960591, 0.000000 
4, 256, 303317535.545024, 0.000000 
5, 256, 260162601.626016, 0.000000 
6, 256, 206451612.903226, 0.000000 
7, 256, 232727272.727273, 0.000000 
8, 256, 206451612.903226, 0.000000 
1, 512, 727272727.272727, 0.000000 
2, 512, 568888888.888889, 0.000000 
3, 512, 501960784.313726, 0.000000 
4, 512, 528925619.834711, 0.000000 
5, 512, 468864468.864469, 0.000000 
6, 512, 415584415.584416, 0.000000 
7, 512, 391437308.868502, 0.000000 
8, 512, 396284829.721362, 0.000000 
1, 1024, 879725085.910653, 0.000000 
2, 1024, 907801418.439716, 0.000000 
3, 1024, 719101123.595506, 0.000000 
4, 1024, 739884393.063584, 0.000000 
5, 1024, 677248677.248677, 0.000000 
6, 1024, 656410256.410256, 0.000000 
7, 1024, 627450980.392157, 0.000000 
8, 1024, 659793814.432990, 0.000000 
1, 2048, 1105831533.477322, 0.000000 
2, 2048, 1096359743.040685, 0.000000 
3, 2048, 973384030.418251, 0.000001 
4, 2048, 942909760.589319, 0.000001 
5, 2048, 912655971.479501, 0.000001 
6, 2048, 875213675.213675, 0.000001 
7, 2048, 846280991.735537, 0.000001 
8, 2048, 872231686.541738, 0.000001 
1, 4096, 1213270142.180095, 0.000001 
2, 4096, 1200468933.177022, 0.000001 
3, 4096, 1141583054.626533, 0.000001 
4, 4096, 1146696528.555431, 0.000001 
5, 4096, 1083597883.597884, 0.000001 
6, 4096, 1058945191.313340, 0.000001 
7, 4096, 1055670103.092783, 0.000001 
8, 4096, 1029145728.643216, 0.000001 
1, 8192, 1297845373.891001, 0.000002 
2, 8192, 1264197530.864197, 0.000002 
3, 8192, 1246500304.321363, 0.000002 
4, 8192, 1220500595.947556, 0.000002 
5, 8192, 1197660818.713450, 0.000002 
6, 8192, 1179723502.304147, 0.000002 
7, 8192, 1182448036.951501, 0.000002 
8, 8192, 1201173020.527859, 0.000002 
1, 16384, 1275217932.752179, 0.000003 
2, 16384, 1227817745.803357, 0.000003 
3, 16384, 1231879699.248120, 0.000003 
4, 16384, 1216152019.002375, 0.000003 
5, 16384, 1205414949.970571, 0.000003 
6, 16384, 1190697674.418605, 0.000003 
7, 16384, 1177688326.624497, 0.000003 
8, 16384, 1162645472.608572, 0.000004 
1, 32768, 1280400125.039075, 0.000006 
2, 32768, 1245931558.935361, 0.000007 
3, 32768, 1080738786.279683, 0.000008 
4, 32768, 976516867.326261, 0.000008 
5, 32768, 843145327.295183, 0.000010 
6, 32768, 732540463.203076, 0.000011 
7, 32768, 643418158.969526, 0.000013 
8, 32768, 587198050.318974, 0.000014 
1, 65536, 1286533176.285826, 0.000013 
2, 65536, 1234943845.632019, 0.000013 
3, 65536, 1095113962.970390, 0.000015 
4, 65536, 978558203.428298, 0.000017 
5, 65536, 841499743.194658, 0.000019 
6, 65536, 731297982.503124, 0.000022 
7, 65536, 644430459.408433, 0.000025 
8, 65536, 585959014.341404, 0.000028 
1, 131072, 1221410466.676606, 0.000027 
2, 131072, 1130476781.894708, 0.000029 
3, 131072, 939934599.277150, 0.000035 
4, 131072, 759221501.390176, 0.000043 
5, 131072, 690404955.543382, 0.000047 
6, 131072, 614288660.180342, 0.000053 
7, 131072, 551677694.159638, 0.000059 
8, 131072, 499337122.655167, 0.000066 
1, 262144, 1199282655.638107, 0.000055 
2, 262144, 992323183.380525, 0.000066 
3, 262144, 766323666.978485, 0.000086 
4, 262144, 605217712.517893, 0.000108 
5, 262144, 550801374.986343, 0.000119 
6, 262144, 437180633.196803, 0.000150 
7, 262144, 396666202.630480, 0.000165 
8, 262144, 343113233.230718, 0.000191 
1, 524288, 1116618249.661365, 0.000117 
2, 524288, 820995928.593799, 0.000160 
3, 524288, 717283045.300820, 0.000183 
4, 524288, 546552356.806885, 0.000240 
5, 524288, 400064707.731658, 0.000328 
6, 524288, 367285291.158891, 0.000357 
7, 524288, 392466389.196634, 0.000334 
8, 524288, 321202942.661236, 0.000408 
1, 1048576, 1035646983.063436, 0.000253 
2, 1048576, 830926449.518835, 0.000315 
3, 1048576, 615026558.306275, 0.000426 
4, 1048576, 537354307.337212, 0.000488 
5, 1048576, 391809404.238783, 0.000669 
6, 1048576, 335894294.983830, 0.000780 
7, 1048576, 335803936.739572, 0.000781 
8, 1048576, 279739622.238822, 0.000937 
1, 2097152, 312841534.945611, 0.001676 
2, 2097152, 22643525.142446, 0.023154 
3, 2097152, 108878030.140986, 0.004815 
4, 2097152, 81873281.058996, 0.006404 
5, 2097152, 69844357.950736, 0.007507 
6, 2097152, 18364907.183288, 0.028548 
7, 2097152, 46683170.727994, 0.011231 
8, 2097152, 15890516.051395, 0.032994 
1, 4194304, 321462118.963940, 0.003262 
2, 4194304, 40540641.899167, 0.025865 
3, 4194304, 170257649.267060, 0.006159 
4, 4194304, 132099486.317009, 0.007938 
5, 4194304, 29946908.564935, 0.035014 
6, 4194304, 26687355.312398, 0.039291 
7, 4194304, 24343206.486910, 0.043075 
8, 4194304, 18155006.093476, 0.057757 
1, 8388608, 460087403.689208, 0.004558 
2, 8388608, 72449918.348607, 0.028946 
3, 8388608, 59370916.598996, 0.035323 
4, 8388608, 44477576.930345, 0.047151 
5, 8388608, 28317282.455181, 0.074059 
6, 8388608, 28671282.321964, 0.073145 
7, 8388608, 22273167.470694, 0.094156 
8, 8388608, 18514983.468828, 0.113268 
1, 16777216, 441356923.697928, 0.009503 
2, 16777216, 94322292.735432, 0.044468 
3, 16777216, 52891548.154806, 0.079300 
4, 16777216, 36825826.290926, 0.113896 
5, 16777216, 30506451.414084, 0.137489 
6, 16777216, 26393171.507892, 0.158916 
